"","title","response","domestic","domestic2","foreign","foreign2"
"72","Keanu","$20.6","$20.6","100.0%","n/a","0.0%"
"73","The Wild Life (2016)","$20.4","n/a","0.0%","$20.4","100.0%"
"74","El Clan","$20.4","$201k","1.0%","$20.2","99.0%"
"75","The Choice","$18.7","$18.7","100.0%","n/a","0.0%"
"76","Eye in the Sky","$18.7","$18.7","100.0%","n/a","0.0%"
"77","Regression","$17.7","$55.0k","0.3%","$17.6","99.7%"
"78","Neerja","$17.5","$1.6","9.1%","$15.9","90.9%"
"79","Norm of the North","$17.1","$17.1","100.0%","n/a","0.0%"
"80","Pride and Prejudice and Zombies","$16.4","$10.9","66.6%","$5.5","33.4%"
"81","Kapoor & Sons - Since 1921","$15.4","$2.6","16.9%","$12.8","83.1%"
"82","The Infiltrator","$15.0","$15.0","100.0%","n/a","0.0%"
"83","Criminal (2016)","$14.7","$14.7","100.0%","n/a","0.0%"
"84","Hello, My Name is Doris","$14.4","$14.4","100.0%","n/a","0.0%"
"85","Hardcore Henry","$14.3","$9.3","64.5%","$5.1","35.5%"
"86","The Other Side of the Door","$14.2","$3.0","21.1%","$11.2","78.9%"
"87","Love & Friendship","$13.9","$13.9","100.0%","n/a","0.0%"
"88","Triple 9","$12.6","$12.6","100.0%","n/a","0.0%"
"89","The Man Who Knew Infinity","$10.9","$3.9","35.4%","$7.1","64.6%"
"90","The Darkness","$10.8","$10.8","100.0%","n/a","0.0%"
"91","The Perfect Match","$10.4","$9.7","92.8%","$745k","7.2%"
"92","Our Kind of Traitor","$9.0","$3.1","34.5%","$5.9","65.5%"
"93","Ratchet & Clank","$8.8","$8.8","100.0%","n/a","0.0%"
"94","The Lobster (US Release)","$8.6","$8.6","100.0%","n/a","0.0%"
"95","Bastille Day","$8.6","n/a","0.0%","$8.6","100.0%"
"96","Sing Street","$8.4","$3.2","38.6%","$5.1","61.4%"
"97","A Bigger Splash","$7.2","$2.0","28.0%","$5.2","72.0%"
"98","Cafe Society","$7.1","$7.1","100.0%","n/a","0.0%"
"99","The Young Messiah","$6.5","$6.5","100.0%","n/a","0.0%"
"100","Midnight Special","$6.2","$3.7","59.8%","$2.5","40.2%"
"101","A Beautiful Planet","$5.3","$4.8","92.0%","$420k","8.0%"
"102","Men & Chicken","$4.6","$30.2k","0.7%","$4.6","99.3%"
"103","The Meddler","$4.3","$4.3","100.0%","n/a","0.0%"
"104","A Hologram for the King","$4.2","$4.2","100.0%","n/a","0.0%"
"105","Swiss Army Man","$4.1","$4.1","100.0%","n/a","0.0%"
"106","Kabali","$3.9","$3.9","100.0%","n/a","0.0%"
"107","Where to Invade Next","$3.8","$3.8","100.0%","n/a","0.0%"
"108","Batman: The Killing Joke","$3.8","$3.8","100.0%","n/a","0.0%"
"109","Captain Fantastic","$3.7","$3.7","100.0%","n/a","0.0%"
"110","Hunt for the Wilderpeople","$3.5","$3.5","100.0%","n/a","0.0%"
"111","Everybody Wants Some!!","$3.4","$3.4","100.0%","n/a","0.0%"
"112","Maggie's Plan","$3.3","$3.3","100.0%","n/a","0.0%"
"113","Green Room","$3.2","$3.2","100.0%","n/a","0.0%"
"114","Compadres","$3.1","$3.1","100.0%","n/a","0.0%"
"115","The Program (2016)","$3.0","$13.1k","0.4%","$3.0","99.6%"
"116","Miles Ahead","$2.6","$2.6","100.0%","n/a","0.0%"
"117","Demolition","$2.0","$2.0","100.0%","n/a","0.0%"
"118","Busco Novio Para Mi Mujer","$1.7","$1.7","100.0%","n/a","0.0%"
"119","A Perfect Day","$1.7","$5.0k","0.3%","$1.7","99.7%"
"120","Fan","$1.7","$1.7","100.0%","n/a","0.0%"
"121","I Saw the Light","$1.6","$1.6","100.0%","n/a","0.0%"
"122","Weiner","$1.6","$1.6","100.0%","n/a","0.0%"
"123","Jane Got a Gun","$1.5","$1.5","100.0%","n/a","0.0%"
"124","Genius","$1.3","$1.3","100.0%","n/a","0.0%"
"125","The Neon Demon","$1.3","$1.3","100.0%","n/a","0.0%"
"126","Embrace of the Serpent","$1.3","$1.3","100.0%","n/a","0.0%"
"127","Housefull 3","$1.3","$1.3","100.0%","n/a","0.0%"
"128","Lazer Team","$1.2","$1.2","100.0%","n/a","0.0%"
"129","Dough","$1.1","$1.1","100.0%","n/a","0.0%"
"130","Ma ma","$1.1","$47.3k","4.2%","$1.1","95.8%"
"131","Wazir","$1.1","$1.1","100.0%","n/a","0.0%"
"132","Equals","$1.1","$33.3k","3.1%","$1.1","96.9%"
"133","Train to Busan","$1.1","$1.1","100.0%","n/a","0.0%"
"134","Elvis & Nixon","$1.1","$1.1","100.0%","n/a","0.0%"
"135","Gentleman","$898k","$898k","100.0%","n/a","0.0%"
"136","Dark Horse (2016)","$884k","$884k","100.0%","n/a","0.0%"
"137","Ki & Ka","$858k","$858k","100.0%","n/a","0.0%"
"138","The Innocents","$852k","$852k","100.0%","n/a","0.0%"
"139","Chongqing Hot Pot","$780k","$780k","100.0%","n/a","0.0%"
"140","The Wailing (Goksung)","$771k","$771k","100.0%","n/a","0.0%"
"141","Dishoom","$624k","$624k","100.0%","n/a","0.0%"
"142","City of Gold","$612k","$612k","100.0%","n/a","0.0%"
"143","Knight of Cups","$566k","$566k","100.0%","n/a","0.0%"
"144","Tickled","$549k","$549k","100.0%","n/a","0.0%"
"145","Cold War 2","$533k","$533k","100.0%","n/a","0.0%"
"146","Fitoor","$529k","$529k","100.0%","n/a","0.0%"
"147","The First Monday in May","$527k","$527k","100.0%","n/a","0.0%"
"148","Marguerite","$497k","$497k","100.0%","n/a","0.0%"
"149","The Boy and the Beast","$491k","$491k","100.0%","n/a","0.0%"
"150","Only Yesterday (2016 re-release)","$453k","$453k","100.0%","n/a","0.0%"
"151","Baaghi","$438k","$438k","100.0%","n/a","0.0%"
